"Sygnatura czasowa","Age","Primary streaming service","Hours per day","While working","Instrumenalist","Composer","Fav genre","Exploratory","Foreign languages","BPM","Frequency [Classical]","Frequency [Country]","Frequency [EDM]","Frequency [Folk]","Frequency [Gospel]","Frequency [Hip hop]","Frequency [Jazz]","Frequency [K pop]","Frequency [Latin]","Frequency [Lofi]","Frequency [Metal]","Frequency [Pop]","Frequency [R&B]","Frequency [Rap]","Frequency [Rock]","Frequency [Video game music]","Anxiety","Depression","Insomnia","OCD","Music effects"
"2023/06/07 6:56:56 PM EEST","20","YouTube Music","2.5","Yes","No","No","Pop","Yes","No","140","Never","Never","Sometimes","Rarely","Never","Rarely","Never","Sometimes","Never","Rarely","Never","Very frequently","Rarely","Rarely","Rarely","Very frequently","10","6","1","3","Improve"
"2023/06/07 6:56:59 PM EEST","20","Spotify","3","Yes","No","No","EDM","Yes","No","230","Rarely","Never","Very frequently","Never","Never","Sometimes","Rarely","Never","Never","Sometimes","Rarely","Rarely","Never","Rarely","Rarely","Sometimes","7","7","3","4","Improve"
"2023/06/07 6:58:53 PM EEST","21","Spotify","2.5","Yes","No","No","Rock","No","Yes","104","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Very frequently","Sometimes","Rarely","Sometimes","Sometimes","0","0","0","0","No effect"
"2023/06/07 7:02:12 PM EEST","20","Spotify","7","Yes","No","No","Rap","Yes","Yes","100","Never","Never","Sometimes","Never","Never","Sometimes","Never","Rarely","Rarely","Never","Rarely","Very frequently","Never","Very frequently","Sometimes","Rarely","5","7","6","4","Improve"
"2023/06/07 7:07:46 PM EEST","21","Spotify","4.5","Yes","No","No","Rap","Yes","No","170","Never","Never","Rarely","Never","Never","Never","Never","Sometimes","Rarely","Sometimes","Never","Very frequently","Never","Very frequently","Rarely","Sometimes","1","0","3","5","Improve"
"2023/06/07 7:08:06 PM EEST","21","Spotify","3","Yes","No","No","Rock","Yes","Yes","171","Rarely","Never","Sometimes","Never","Never","Rarely","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Sometimes","6","4","0","0","Improve"
"2023/06/07 7:11:30 PM EEST","21","Spotify","6","Yes","Yes","Yes","Rock","Yes","Yes","this question makes no sense","Sometimes","Never","Rarely","Sometimes","Never","Rarely","Very frequently","Never","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Very frequently","Never","7","2","4","5","Improve"
"2023/06/07 7:23:21 PM EEST","20","Spotify","2","Yes","No","No","Hip hop","No","Yes","110","Rarely","Never","Rarely","Never","Never","Very frequently","Never","Never","Rarely","Never","Never","Sometimes","Never","Very frequently","Rarely","Rarely","2","5","7","2","Improve"
"2023/06/07 7:24:32 PM EEST","21","Spotify","1","No","Yes","No","Hip hop","Yes","Yes","150","Rarely","Never","Sometimes","Never","Never","Very frequently","Rarely","Never","Never","Never","Rarely","Very frequently","Never","Very frequently","Very frequently","Rarely","6","2","0","7","Improve"
"2023/06/07 7:30:00 PM EEST","21","Apple Music","0.2","No","No","No","Hip hop","Yes","Yes","120","Sometimes","Rarely","Never","Never","Never","Very frequently","Never","Sometimes","Rarely","Rarely","Rarely","Sometimes","Rarely","Very frequently","Sometimes","Never","2","0","0","6","No effect"
"2023/06/07 7:30:34 PM EEST","20","Spotify","2.5","Yes","Yes","No","Rock","Yes","Yes","150","Sometimes","Rarely","Never","Sometimes","Never","Sometimes","Never","Never","Rarely","Sometimes","Rarely","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes","10","7","8","4","Improve"
"2023/06/07 7:41:55 PM EEST","18","Spotify","1","Yes","No","No","EDM","Yes","Yes","200","Rarely","Never","Very frequently","Never","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Very frequently","Rarely","Never","Sometimes","Very frequently","5","3","0","1","No effect"
"2023/06/07 7:48:04 PM EEST","20","Spotify","3.5","Yes","Yes","Yes","Rap","Yes","Yes","140","Rarely","Never","Rarely","Never","Never","Very frequently","Rarely","Never","Never","Rarely","Rarely","Rarely","Sometimes","Very frequently","Sometimes","Sometimes","2","7","9","0","Improve"
"2023/06/07 8:01:47 PM EEST","21","Spotify","6","Yes","No","No","Pop","No","No","idk","Rarely","Never","Never","Never","Rarely","Sometimes","Never","Rarely","Rarely","Sometimes","Never","Very frequently","Sometimes","Sometimes","Rarely","Never","2","0","2","1","No effect"
"2023/06/07 8:02:20 PM EEST","21","Spotify","5.5","Yes","No","No","Metal","No","Yes","135","Sometimes","Rarely","Never","Rarely","Never","Rarely","Never","Never","Sometimes","Rarely","Very frequently","Rarely","Rarely","Rarely","Sometimes","Sometimes","7","5","4","2","No effect"
"2023/06/07 8:03:18 PM EEST","20","Spotify","3.5","Yes","Yes","No","Rap","Yes","Yes","95","Rarely","Never","Never","Never","Rarely","Rarely","Rarely","Never","Never","Sometimes","Never","Rarely","Rarely","Very frequently","Never","Rarely","4","4","9","6","Improve"
"2023/06/07 8:04:24 PM EEST","20","YouTube Music","3","Yes","Yes","No","Pop","Yes","Yes","160","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Rarely","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","10","10","6","0","Improve"
"2023/06/07 8:04:43 PM EEST","21","Spotify","3","No","No","No","Rock","No","Yes","100","Rarely","Rarely","Never","Rarely","Never","Rarely","Rarely","Never","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Very frequently","Sometimes","9","10","4","10","Improve"
"2023/06/07 8:07:13 PM EEST","20","Spotify","1","Yes","No","No","Pop","No","No","110","Rarely","Never","Rarely","Never","Never","Rarely","Rarely","Never","Never","Rarely","Rarely","Very frequently","Rarely","Rarely","Rarely","Sometimes","3","0","0","1","No effect"
"2023/06/07 8:08:22 PM EEST","21","Spotify","0.5","No","No","No","Pop","No","Yes","80","Rarely","Never","Sometimes","Rarely","Never","Rarely","Rarely","Rarely","Never","Never","Never","Very frequently","Never","Sometimes","Sometimes","Rarely","8","2","2","0","Improve"
"2023/06/07 8:08:25 PM EEST","21","Spotify","2","No","Yes","No","Rock","No","No","100","Never","Never","Rarely","Never","Never","Very frequently","Rarely","Never","Never","Rarely","Rarely","Very frequently","Sometimes","Very frequently","Very frequently","Never","4","3","1","1","Improve"
"2023/06/07 8:13:37 PM EEST","20","Spotify","0.5","Yes","No","No","EDM","Yes","Yes","9999999999999999.23","Rarely","Never","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Rarely","Rarely","Rarely","Rarely","Rarely","7","1","0","7","Improve"
"2023/06/07 8:47:29 PM EEST","20","Spotify","4","No","No","No","Rap","Yes","Yes","Nie wiem","Never","Never","Rarely","Never","Rarely","Very frequently","Rarely","Never","Rarely","Sometimes","Never","Sometimes","Sometimes","Very frequently","Rarely","Rarely","2","3","1","2","No effect"
"2023/06/07 10:11:58 PM EEST","21","YouTube Music","1","No","No","No","Metal","No","No","104","Very frequently","Never","Rarely","Sometimes","Rarely","Never","Sometimes","Never","Never","Never","Very frequently","Never","Sometimes","Sometimes","Very frequently","Very frequently","4","5","6","0","No effect"
